chapter_no,total_stages,chapter_reward_gem,chapter_reward_gold,chapter_name
1,4,10,100,Blue Mountains
2,4,20,200,Mystic Waterfall
3,4,30,300,Night Forest
4,4,40,400,Vast Plateau
5,4,50,500,chapter5_name
6,4,60,600,chapter6_name
7,4,70,700,chapter7_name
8,4,80,800,chapter8_name
9,4,90,900,chapter9_name
10,4,100,1000,chapter10_name
11,4,110,1100,chapter11_name
12,4,120,1200,chapter12_name
13,4,130,1300,chapter13_name
14,4,140,1400,chapter14_name
15,4,150,1500,chapter15_name
16,4,160,1600,chapter16_name
17,4,170,1700,chapter17_name
18,4,180,1800,chapter18_name
19,4,190,1900,chapter19_name
20,4,200,2000,chapter20_name
21,4,210,2100,chapter21_name
22,4,220,2200,chapter22_name
23,4,230,2300,chapter23_name
24,4,240,2400,chapter24_name
